TOTCNG,TOTADH,TOTRATE,EVANCNG,EVANADH,EVANRATE,BPRTCNG,BPRTADH,BPRTRATE,MPRTCNG,MPRTADH,MPRTRATE,CATHCNG,CATHADH,CATHRATE,ORTHCNG,ORTHADH,ORTHRATE,OTHCNG,OTHADH,OTHRATE,OCGCNG,AMECNG,AMEADH,AMERATE,AMEZCNG,AMEZADH,AMEZRATE,ALBCNG,ALBADH,ALBRATE,AWMCCNG,AWMCADH,AWMCRATE,ALBPCNG,AMANCNG,AMANADH,AMANRATE,AAMCNG,AAMADH,AAMRATE,AALCCNG,ABACNG,ABAADH,ABARATE,ABCCNG,ABCADH,ABCRATE,ACROCNG,ACROADH,ACRORATE,APCCNG,AMSHCNG,AMSHADH,AMSHRATE,ACNACNG,AOCACNG,AOCAADH,AOCARATE,ACCACNG,ACCAADH,ACCARATE,AFMCNG,AFMADH,AFMRATE,ALCACNG,AACACNG,AACAADH,AACARATE,ARMCNG,ARMADH,ARMRATE,AECCNG,AGCNG,AGADH,AGRATE,AGIFCNG,ARPCCNG,ARPCADH,ARPCRATE,AFLCCNG,AMCCNG,ARBCCNG,BAHCNG,BAHADH,BAHRATE,BAMCCNG,BAMCADH,BAMCRATE,BAMCNG,BAMADH,BAMRATE,BFCCNG,BFCADH,BFCRATE,BPCCNG,BCACNG,BCAADH,BCARATE,BCCCNG,BRUDCNG,BRUDADH,BRUDRATE,BUDMCNG,BUDMADH,BUDMRATE,BUDTCNG,BUDTADH,BUDTRATE,BUDVCNG,BUDVADH,BUDVRATE,BULGCNG,BULGADH,BULGRATE,CCFCCNG,CARCCNG,CTHCNG,CTHADH,CTHRATE,CYMFCNG,CYMFADH,CYMFRATE,CMACNG,CMAADH,CMARATE,CBCNG,CCDCCNG,CCDCADH,CCDCRATE,CCCCCNG,CCCCADH,CCCCRATE,CMECNG,CMEADH,CMERATE,CRCCNG,CRCADH,CRCRATE,CUCNG,CCHCNG,CCSCNG,CGAICNG,CGAIADH,CGAIRATE,CGCTCNG,CGCTADH,CGCTRATE,CG7DCNG,CGFCNG,CGGCCNG,CGGCADH,CGGCRATE,CGCCNG,CGCADH,CGCRATE,CGCMCNG,CGCMADH,CGCMRATE,CGPCNG,CGPADH,CGPRATE,CGAFCNG,CGMACNG,LDSCNG,LDSADH,LDSRATE,CAFCNG,CBRCNG,CBRADH,CBRRATE,CLBACNG,CLBAADH,CLBARATE,CLCCNG,NAZCNG,NAZADH,NAZRATE,CUBCCNG,CUBCADH,CUBCRATE,CHCHCNG,CHCHADH,CHCHRATE,CCCUCNG,CHGNCNG,CHGNADH,CHGNRATE,CRECCNG,COCCNG,COCADH,COCRATE,CCCCNG,CCCADH,CCCRATE,CHCCNG,CHCADH,CHCRATE,CMCCNG,CMCADH,CMCRATE,CBACNG,CCONCNG,CCONADH,CCONRATE,CJUDCNG,CJUDADH,CJUDRATE,CLACNG,CMCOCNG,CMCOADH,CMCORATE,CYFRCNG,CYFRADH,CYFRRATE,OFWBCNG,OFWBADH,OFWBRATE,CWCNG,CWADH,CWRATE,COPTCNG,COPTADH,COPTRATE,CRPCCNG,CUMBCNG,CUMBADH,CUMBRATE,CPCACNG,ELIMCNG,EBACNG,ECCNG,ECADH,ECRATE,EOCNG,EOADH,EORATE,ETHOCNG,EARCNG,EVCHCNG,ECCCNG,ECCADH,ECCRATE,ECOVCNG,ECOVADH,ECOVRATE,EFCACNG,EFCAADH,EFCARATE,EFCICNG,EFCIADH,EFCIRATE,ELCACNG,ELCAADH,ELCARATE,ELSCNG,ELSADH,ELSRATE,EMCCNG,EPCCNG,EPCADH,EPCRATE,FRCCNG,FEBCCNG,FEBCADH,FEBCRATE,FECCNG,FECADH,FECRATE,FOURCNG,FOURADH,FOURRATE,FCSCNG,FMCCNG,FMCADH,FMCRATE,FPCCNG,FRCHCNG,FRNDCNG,FRNDADH,FRNDRATE,FGCCNG,FGCADH,FGCRATE,FUMCNG,FUMADH,FUMRATE,FGBCNG,FBFCNG,GARBCNG,GOPCNG,GOPADH,GOPRATE,FGBCCNG,GGFCNG,GRKCNG,GRKADH,GRKRATE,HRCCNG,HRCADH,HRCRATE,HNICNG,HNIADH,HNIRATE,HNPRCNG,HNPRADH,HNPRRATE,HNRCNG,HNRADH,HNRRATE,HNTTCNG,HNTTADH,HNTTRATE,HOCCNG,HOCADH,HOCRATE,HUNGCNG,HUTTCNG,IBFICNG,IFCACNG,IYMFCNG,IYMFADH,IYMFRATE,ICCCNG,ICCADH,ICCRATE,ICCCCNG,IFBCCNG,INTFCNG,IPCCCNG,IPCCADH,IPCCRATE,IPHCCNG,IPHCADH,IPHCRATE,JAINCNG,JWCNG,KPRSCNG,KPCACNG,KAPCCNG,LCMSCNG,LCMSADH,LCMSRATE,LCMCCNG,LCMCADH,LCMCRATE,MOCCNG,MOCADH,MOCRATE,MALACNG,MALAADH,MALARATE,MOSCCNG,MOSCADH,MOSCRATE,MAMCNG,MAMADH,MAMRATE,MCFCNG,MCFADH,MCFRATE,MENNCNG,MENNADH,MENNRATE,MCCCNG,MCCADH,MCCRATE,MBAMCNG,MBAMADH,MBAMRATE,MCCFCNG,MCCFADH,MCCFRATE,MISSCNG,MISSADH,MISSRATE,MVAKCNG,MVAKADH,MVAKRATE,MVNOCNG,MVNOADH,MVNORATE,MVSOCNG,MVSOADH,MVSORATE,MSLMCNG,MSLMADH,MSLMRATE,NACCCNG,NACCADH,NACCRATE,FWBCNG,FWBADH,FWBRATE,NBCACNG,NBCAADH,NBCARATE,NBCCNG,NBCADH,NBCRATE,NMBCCNG,NMBCADH,NMBCRATE,NSACCNG,NWAPCNG,IBCCNG,NONDCNG,NONDADH,NONDRATE,NABCCNG,NABCADH,NABCRATE,NALCCNG,OORBCNG,OORBADH,OORBRATE,OBSCCNG,OBSCADH,OBSCRATE,OCACNG,OCAADH,OCARATE,OJUDCNG,OJUDADH,OJUDRATE,OPCCNG,OPCADH,OPCRATE,ROCCNG,ROCADH,ROCRATE,PCCCNG,PCCADH,PCCRATE,FBHCCNG,PFWBCNG,PILLCNG,PILLADH,PILLRATE,PNCCCNG,PCCNG,PCADH,PCRATE,PCACNG,PCAADH,PCARATE,PRCCNG,PBEDCNG,PBEDADH,PBEDRATE,PMCCNG,PNBCCNG,PNBCADH,PNBCRATE,PRCACNG,PRCAADH,PRCARATE,RJUDCNG,RJUDADH,RJUDRATE,RFRMCNG,RFRMADH,RFRMRATE,RBCCNG,RCACNG,RCAADH,RCARATE,RCUSCNG,RCUSADH,RCUSRATE,RMCCNG,RMCADH,RMCRATE,RPCCNGV,RPHPCNG,RPUSCNG,RPNACNG,RPNAADH,RPNARATE,ROAACNG,ROAAADH,ROAARATE,ROORCNG,ROORADH,ROORRATE,SALVCNG,SALVADH,SALVRATE,SCHWCNG,SCHWADH,SCHWRATE,SERBCNG,SERBADH,SERBRATE,SDBCNG,SDBADH,SDBRATE,SDACCNG,SDACADH,SDACRATE,SHNTCNG,SIKHCNG,SBCCNG,SBCADH,SBCRATE,SMCCNG,SWEDCNG,SOCACNG,SOCAADH,SOCARATE,TAMCNG,TAMADH,TAMRATE,TAOCNG,USMBCNG,USMBADH,USMBRATE,UOCCNG,UOCADH,UOCRATE,UCAMCNG,UCAMADH,UCAMRATE,UFMCNG,UMJCCNG,UUACNG,UUAADH,UUARATE,UCTHCNG,UCTHADH,UCTHRATE,UCCCNG,UCCADH,UCCRATE,UHCACNG,UMCCNG,UMCADH,UMCRATE,UPCICNG,UPCCNG,URCCNG,UZCCNG,UZCADH,UZCRATE,UNTYCNG,UNBRCNG,PJOCCNG,PJOCADH,PJOCRATE,VINECNG,VINEADH,VINERATE,WESCNG,WESADH,WESRATE,WELSCNG,WELSADH,WELSRATE,ZOROCNG,ZOROADH,ZORORATE,FIPS,STCODE,STABBR,STNAME,CNTYCODE,CNTYNAME,POP2010
106,36938,676.8788889,79,27503,503.99,13,2291,41.97888889,12,4522,82.85888889,1,1766,32.35888889,,,,1,856,15.68888889,,6,877,16.07,2,168,3.08,,,,,,,,,,,,,,,1,188,3.45,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,275,5.04,,1,0,,,,,0,33,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1766,32.35888889,,,,1,186,3.41,,,,,1,69,1.26,1,150,2.75,,,,,,,1,40,0.73,5,956,17.51888889,,,,,,1,188,3.45,,,,,,,,,1,820,15.02888889,,,,,,,,,,,,,,,6,1137,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,415,7.598888889,,,,,,,,,,,,,,,,,,,1,161,2.95,,,,,1,16,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4759,87.20888889,,,,,,1,46,0.84,1,38,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,130,2.378888889,,,,3,908,16.64,,,,,,,10,1945,35.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,308,5.638888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,93,1.7,,,37,17171,314.6488889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3946,72.31,2,,,,,,,,,,,,,,1,146,2.68,,,,0,3,0.05,1001,1,AL,Alabama,1,Autauga County,54571
271,96918,531.74,178,57986,318.1388889,17,3130,17.17,48,20075,110.14,13,14009,76.85888889,1,190,1.04,14,1528,8.38,,7,1033,5.67,2,365,2,,,,,,,,,,,,,,,1,182,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,17,3410,18.71,,,,,1,,,1,37,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,14009,76.85888889,,,,1,376,2.06,,3,538,2.95,2,536,2.94,1,182,1,,,,,,2,2,102,0.56,11,4423,24.26888889,,,,,,4,1003,5.5,,,,1,61,0.33,,,2,1022,5.61,,,,,,,,,1,39,0.21,,,,12,1515,8.31,,,,,,2,323,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3399,18.64888889,,,,,,,,,,3,180,0.99,,,,,,,2,264,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,0.13,,,,,,,,,,,1,1,190,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1123,6.16,,4,,,,8,1544,8.47,1,52,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,126,0.69,,,,,,,3,547,3,,1,,26,6065,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2310,12.67,5,890,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,408,2.24,,,67,36823,202.03,,,,,,,,,,,,,,,,,,,,,1,146,0.8,,,,,,,,24,13540,74.29,4,,,,,,1,,,,,,,,1,131,0.72,,,,,,,1003,1,AL,Alabama,3,Baldwin County,182265
89,15101,549.99,51,8793,320.25,21,3328,121.2088889,14,2140,77.93888889,1,575,20.94,,,,2,265,9.65,,13,2283,83.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,663,24.14888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,575,20.94,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,101,3.68,,,,,,3,204,7.428888889,,,,,,,,,1,265,9.65,,,,,,,,,,,,,,,2,147,5.348888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,338,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,125,4.548888889,,,,5,841,30.62888889,,,,,,,7,918,33.42888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,268,9.758888889,4,170,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1.09,,,25,6639,241.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,61,2.22,,11,1473,53.64888889,1,,,,,,,,,,,,,,,,,,,,,,,1005,1,AL,Alabama,5,Barbour County,27457
81,11430,498.8,63,10159,443.3288889,8,966,42.15888889,9,302,13.17888889,,,,,,,1,3,0.13,,3,423,18.46,3,362,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,203,8.858888889,,,,,,,,0,3,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,304,13.26888889,,,,,,,,,,,,3,181,7.9,,,,,,1,,,,,,,,2,170,7.42,,,,3,134,5.848888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,126,5.5,,,,1,181,7.9,,,,,,,2,288,12.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,1,2,104,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,1.75,,,42,8609,375.6888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,279,12.17888889,3,,,,,,,,,,,,,,,,,,,,,,,1007,1,AL,Alabama,7,Bibb County,22915
156,37352,651.62,122,29223,509.8,2,58,1.01,29,3035,52.95,1,4744,82.76,,,,2,292,5.088888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,227,3.96,,,,,,,,0,1,0.018888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4744,82.76,,,,1,30,0.52,,,,,,,,,,,,,,,,,,,,10,1668,29.1,,,,,,,,,,,,,,,,,1,291,5.08,,1,53,0.92,,,,,5,623,10.86888889,,,,8,517,9.018888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,0.87,,,,1,44,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,365,6.37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,128,2.23,,,,1,37,0.65,1,21,0.37,,,,8,1020,17.78888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0.23,,,79,24529,427.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2991,52.17888889,,,,,,,,,,,,,,,,,,,,,,,,1009,1,AL,Alabama,9,Blount County,57322
47,6300,577.24,15,2152,197.18,21,3445,315.6488889,9,601,55.07,1,49,4.49,,,,1,53,4.86,,11,1544,141.4688889,4,543,49.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,4.49,,,,,,,,,,,,,,2,302,27.67,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,5.5,,,,,,,,,,,,1,42,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,875,80.17,1,181,16.57888889,,,,2,200,18.32888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,3.568888889,1,17,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,3.568888889,,,8,1794,164.3788889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,562,51.49,,,,,,,,,,,,,,,,,,,,,,,,1011,1,AL,Alabama,11,Bullock County,10914
92,12278,586.1488889,63,8653,413.0888889,8,1657,79.09888889,17,1653,78.90888889,1,77,3.68,,,,3,238,11.35888889,,,,,4,675,32.21888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,95,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,77,3.68,,,,,,,,3,562,26.82888889,1,61,2.91,,,,,,,,,,,,,3,50,2.39,,,,,,1,184,8.778888889,,,,,,,,,1,102,4.87,,,,,,,,,,,,,,,11,786,37.52,,,,,,1,136,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,235,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,4.678888889,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,184,8.778888889,2,614,29.30888889,,,,,,,5,700,33.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,155,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1.58,,,35,6675,318.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,856,40.86888889,1,,,,,,,,,,,,,,,,,,,,,,,1013,1,AL,Alabama,13,Butler County,20947
281,84615,713.62,204,67564,569.8088889,24,5163,43.53888889,42,7066,59.59,4,3192,26.92,1,40,0.34,6,1590,13.41,,1,122,1.03,1,122,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,0.36,,,,,,,,,6,511,4.308888889,,,,,,,,0,20,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3192,26.92,,,,,,,,2,188,1.59,2,225,1.9,11,1310,11.05,,,,,,,1,34,0.29,13,4298,36.25,,1,,,,3,389,3.278888889,,,,1,80,0.67,,,2,1149,9.688888889,1,,,,,,,,2,193,1.63,,,,16,2569,21.67,,,,,,,,,,,,16,778,6.558888889,8,891,7.508888889,,,,,,,,,,,,,,,,,,,,,,,,,1,90,0.76,,,,3,744,6.268888889,,,,,,,,,,,,,,,,,,,2,218,1.84,,,,,,,,,,,,,,,1,589,4.968888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,314,2.65,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,308,2.6,,,,,,,,,,6,3038,25.62,1,182,1.53,,,,30,9712,81.90888889,,,,,,,,,,,1,40,0.34,,,,,,,,,,,,,2,,,,,,8,756,6.378888889,2,228,1.92,,,,,,,,,,,,,,,1,113,0.95,,,,,,,,,,,,,,,,,,,,,,,1,264,2.23,,,,,,,,,,4,380,3.2,,,91,46326,390.6988889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5160,43.52,2,,,,,,,,,,,,,,1,39,0.33,,,,,,,1015,1,AL,Alabama,15,Calhoun County,118572
119,22251,650.33,62,12903,377.12,21,5780,168.93,33,3080,90.01888889,1,249,7.28,,,,2,239,6.99,,4,481,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,335,9.788888889,,,,,,,,0,2,0.058888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,249,7.28,,,,,,,,2,90,2.63,2,481,14.06,6,770,22.5,,,,,,,2,84,2.46,1,208,6.08,,,,,,,,,,,,,,,,,1,237,6.928888889,,,,,,,,,4,584,17.07,,,,4,282,8.24,,,,,,,,,,,,1,34,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,90,2.63,,,,2,127,3.71,9,4402,128.6588889,,,,,,,4,513,14.99,,,,,,,,,,,,,,,,,,,,,,,1,109,3.188888889,,,,,,,1,13,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,0.58,,,36,10229,298.9588889,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95,2.778888889,,26,2792,81.59888889,1,,,,,,,,,,,1,24,0.7,,,,,,,,,,1017,1,AL,Alabama,17,Chambers County,34215
79,12455,479.24,62,10865,418.06,,,,16,1590,61.17888889,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,242,9.31,,,,,,,,,,,,1,73,2.81,,,,,,,,,,,,,,,,,,,,3,149,5.73,,,,,,,,,,,,3,146,5.62,1,47,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,195,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,10013,385.2788889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1590,61.17888889,1,,,,,,,,,,,,,,,,,,,,,,,1019,1,AL,Alabama,19,Cherokee County,25989
